Package,Item,Title,size
ggraph,flare,The class hierarchy of the flare visualization library,114872
gamlss.data,film90,Film revenue data for the 1990's,114480
wooldridge,recid,recid,112912
yarrr,pirateserrors,pirateserrors,112744
tidyr,population,World Health Organization TB data,112592
plm,RiceFarms,Production of Rice in Indonesia,112312
DescTools,d.pizza,Data pizza,111904
sentimentr,hu_liu_cannon_reviews,Cannon G3 Camera Product Reviews From Amazon,111008
maps,us.cities,Database of US cities,110696
wooldridge,meap00_01,meap00_01,110336
ipred,GlaucomaMVF,Glaucoma Database,109800
mlbench,BostonHousing2,Boston Housing Data,109408
wooldridge,discrim,discrim,108640
latticeExtra,USAge.table,US national population estimates,108312
survival,survexp.mn,Census Data Sets for the Expected Survival and Person Years Functions,107880
ade4,bsetal97,Ecological and Biological Traits,107856
mlr3data,moneyball,Major League Baseball Statistics 1962-2012,107416
yarrr,capture,capture,106440
wooldridge,mlb1,mlb1,105536
timetk,bike_sharing_daily,Daily Bike Sharing Data,105352
ggplot2,midwest,Midwest demographics,104888
AER,Fatalities,US Traffic Fatalities,104672
mlbench,PimaIndiansDiabetes,Pima Indians Diabetes Database,103712
mlbench,PimaIndiansDiabetes2,Pima Indians Diabetes Database,103712
pdp,pima,Pima Indians Diabetes Data,103712
lexicon,pos_action_verb,Action Word List,102632
AppliedPredictiveModeling,ChemicalManufacturingProcess,Chemical Manufacturing Process Data,101856
AER,TravelMode,Travel Mode Choice Data,100776
ROCR,ROCR.hiv,Data set: Support vector machines and neural networks applied to the prediction of HIV-1 coreceptor usage,100336
AER,SwissLabor,Swiss Labor Market Participation Data,100168
AER,GSOEP9402,German Socio-Economic Panel 1994-2002,100112
adabag,simulatedRankingData,Simulated ranking data,100056
vegan,BCI,Barro Colorado Island Tree Counts,99576
evclass,ionosphere,Ionosphere dataset,98896
qs,starnames,Official list of IAU Star Names,98704
wooldridge,beauty,beauty,98672
urltools,tld_dataset,Dataset of top-level domains (TLDs),98656
wooldridge,gpa3,gpa3,97328
wooldridge,jtrain,jtrain,96856
sentimentr,course_evaluations,Student Course Evaluation Comments,95840
carData,CES11,"2011 Canadian National Election Study, With Attitude Toward Abortion",95144
sentimentr,hu_liu_nokia_reviews,Nokia 6610 Product Reviews From Amazon,94632
vcd,Baseball,Baseball Data,94504
survival,myeloma,Survival times of patients with multiple myeloma,94384
mclust,chevron,Simulated minefield data,94224
pdp,boston,Boston Housing Data,94112
wooldridge,mroz,mroz,93936
ggplot2,economics_long,US economic time series,93584
sp,Rlogo,Rlogo jpeg image,93552
lmerTest,carrots,Consumer Preference Mapping of Carrots,93512
misc3d,teapot,Utah Teapot,93232
titanic,titanic_test,Titanic test data.,93128
nlme,Phenobarb,Phenobarbitol Kinetics,91600
gamlss.data,film30,Film revenue data for the 1930's,90976
reshape,french_fries,Sensory data from a french fries experiment,90944
reshape2,french_fries,Sensory data from a french fries experiment.,90944
AER,PhDPublications,Doctoral Publications,90016
flexmix,bioChemists,Articles by Graduate Students in Biochemistry Ph.D. Programs,90000
plm,Hedonic,Hedonic Prices of Census Tracts in the Boston Area,89960
mlbench,BostonHousing,Boston Housing Data,89856
modeldata,chem_proc_yield,Chemical manufacturing process data set,89824
ade4,bf88,Cubic Ecological Data,89496
leaflet.extras2,gibs_layers,The available GIBS layers with attributes,89464
wooldridge,k401k,k401k,87720
rpart,solder,Soldering of Components on Printed-Circuit Boards,87584
survival,solder,Data from a soldering experiment,87584
ISLR,Smarket,S&P Stock Market Data,87320
carData,Wells,Well Switching in Bangladesh,86832
ca,wg93,International Social Survey Program on Environment 1993 - western German sample,86512
networkD3,SchoolsJournals,Edge list of REF (2014) journal submissions for Politics and International Relations,86360
gamlss.data,Mums,Mothers encouragement data,85728
maps,iso3166,ISO 3166 country codes (2 or 3 letters) and sovereignty.,85712
lava,semdata,Example SEM data,85128
MASS,Aids2,Australian AIDS Survival Data,83656
glmnet,PoissonExample,Synthetic dataset with count response,82616
afex,sk2011.2,"Data from Singmann & Klauer (2011, Experiment 2)",82408
mice,walking,Walking disability data,82040
AER,RecreationDemand,Recreation Demand Data,81672
carData,Mroz,U.S. Women's Labor-Force Participation,81432
dslabs,olive,Italian olive,81416
AER,EquationCitations,Number of Equations and Citations for Evolutionary Biology Publications,81408
NeuralNetTools,neuraldat,Simulated dataset for function examples,81224
plotrix,l2010,World lightning strike data from 2010,80496
RecordLinkage,identity.RLdata10000,Test data for Record Linkage,80048
AER,HousePrices,"House Prices in the City of Windsor, Canada",79472
wooldridge,volat,volat,78784
ISLR,Auto,Auto Data Set,78600
wooldridge,voucher,voucher,78464
graphlayouts,multilvl_ex,Multilevel example Network,78456
wooldridge,econmath,econmath,78000
gamlss.data,lungFunction,The lung function data,76920
mitml,leadership,Example data set on leadership style and job satisfaction,76728
ade4,aravo,"Distribution of Alpine plants in Aravo (Valloire, France)",76576
VIM,pulplignin,Pulp lignin content,76456
ISLR,Weekly,Weekly S&P Stock Market Data,76376
gamlss.data,grip,The hand grip strength data,76160
kernlab,promotergene,E. coli promoter gene sequences (DNA),75928
AER,MSCISwitzerland,MSCI Switzerland Index,75808
lava,brisa,Simulated data,75712
AER,PSID1982,PSID Earnings Data 1982,75304
stringr,sentences,Sample character vectors for practicing string manipulations,75024
TH.data,GBSG2,German Breast Cancer Study Group 2,74920
MASS,nlschools,Eighth-Grade Pupils in the Netherlands,74792
mosaicData,HELPrct,Health Evaluation and Linkage to Primary Care,74232
boot,brambles,Spatial Location of Bramble Canes,73400
survival,udca2,Data from a trial of usrodeoxycholic acid,72840
AER,Affairs,Fair's Extramarital Affairs Data,72592
AER,CPS1985,Determinants of Wages Data (CPS 1985),72280
MASS,biopsy,Biopsy Data on Breast Cancer Patients,72248
modeldata,concrete,Compressive strength of concrete mixtures,72080
mosaicData,HELPmiss,Health Evaluation and Linkage to Primary Care,72072
wooldridge,cps78_85,cps78_85,72064
VIM,colic,Colic horse data set,72040
lexicon,hash_sentiment_emojis,Emoji Sentiment Polarity Lookup Table,72024
palmerpenguins,penguins_raw,"Penguin size, clutch, and blood isotope data for foraging adults near Palmer Station, Antarctica",72024
AppliedPredictiveModeling,concrete,Compressive Strength of Concrete from Yeh (1998),71928
modeldata,biomass,Biomass data,71888
mice,pops.pred,Project on preterm and small for gestational age infants (POPS),70920
wooldridge,apple,apple,70912
AER,TeachingRatings,Impact of Beauty on Instructor's Teaching Ratings,70904
wavelets,subtidal,Subtidal Sea Level Measurements,70888
wooldridge,wage2,wage2,70280
flexmix,dmft,Dental Data,70056
TH.data,wpbc,Wisconsin Prognostic Breast Cancer Data,69688
mlbench,HouseVotes84,United States Congressional Voting Records 1984,68848
FactoMineR,tea,tea (data),68048
flexclust,btw2002,German Parliament Election Data,67624
flexclust,btw2005,German Parliament Election Data,67624
mice,toenail2,Toenail data,67304
quantreg,Peirce,C.S. Peirce's Auditory Response Data,67024
AER,MASchools,Massachusetts Test Score Data,66984
gapminder,gapminder,Gapminder data,66864
rattle,weather,Sample dataset of daily weather observations from Canberra airport in Australia.,66592
mlr,spatial.task,J. Muenchow's Ecuador landslide data set,66328
RCurl,mimeTypeExtensions,Mapping from extension to MIME type,66240
yarrr,auction,auction,65968
radiant.model,direct_marketing,Direct marketing data,65608
boot,aids,Delay in AIDS Reporting in England and Wales,65160
AER,NYSESW,Daily NYSE Composite Index,64704
sentimentr,hu_liu_nikon_reviews,Nikon Coolpix 4300 Product Reviews From Amazon,64704
lexicon,sw_fry_1000,Fry's 1000 Most Commonly Used English Words,64448
datasets,treering,"Yearly Treering Data, -6000-1979",64304
DescTools,d.countries,ISO 3166-1 Country Codes,64216
robustbase,radarImage,Satellite Radar Image Data from near Munich,64144
modeldata,car_prices,Kelly Blue Book resale data for 2005 model year GM cars,64040
caret,cars,Kelly Blue Book resale data for 2005 model year GM cars,63904
mlbench,Ozone,"Los Angeles ozone pollution data, 1976",63696
mice,tbc.target,Terneuzen birth cohort,63680
stringr,words,Sample character vectors for practicing string manipulations,63568
timetk,m4_hourly,Sample of 4 Hourly Time Series Datasets from the M4 Competition,63472
gamlss.data,Leukemia,The Leukemia data,62384
compareGroups,SNPs,SNPs in a case-control study,62128
AER,USSeatBelts,Effects of Mandatory Seat Belt Laws in the US,61824
leaflet,atlStorms2005,Atlantic Ocean storms 2005,61720
ggplot2,luv_colours,'colors()' in Luv space,61496
TH.data,mn6.9,I.Q. and attitude towards science,61376
gamlss.data,hodges,Hodges data,61240
datasets,EuStockMarkets,"Daily Closing Prices of Major European Stock Indices, 1991-1998",60768
countrycode,cldr_examples,List of CLDR country name codes and associated examples,59976
ade4,woangers,Plant assemblages in woodlands of the conurbation of Angers (France),59896
dlookr,Carseats,Sales of Child Car Seats,59648
ISLR,Carseats,Sales of Child Car Seats,59648
mitml,studentratings,Example data set on student ratings and achievement,59568
archdata,Handaxes,"Lower Paleolithic handaxes from Furze Platt, Maidenhead, Berkshire, England",59424
wooldridge,cement,cement,59368
Lahman,Parks,Parks table,59176
caret,Sacramento,Sacramento CA Home Prices,58568
wooldridge,wage1,wage1,58488
ade4,bacteria,Genomes of 43 Bacteria,58264
ROCR,ROCR.xval,Data set: Artificial cross-validation data for use with ROCR,57672
textshape,golden_rules,Sentence Boundary Disambiguation Edge Cases,57608
lexicon,cliches,Common Cliches,57584
mice,popmis,Hox pupil popularity data with missing popularity scores,57472
dplyr,starwars,Starwars characters,57440
wooldridge,jtrain98,jtrain98,57104
lme4,grouseticks,Data on red grouse ticks from Elston et al. 2001,56720
ggstatsplot,Titanic_full,Titanic dataset.,56456
VIM,testdata,Simulated data set for testing purpose,56424
wavelets,ocean,Vertical Ocean Sheer Measurements,55920
boot,cd4.nested,Nested Bootstrap of cd4 data,55616
prabclus,tetragonula,Microsatellite genetic data of Tetragonula bees,55488
ISLR,Hitters,Baseball Data,55360
wooldridge,kielmc,kielmc,55280
ade4,coleo,Table of Fuzzy Biological Traits,55064
modeldata,Sacramento,Sacramento CA home prices,54984
MASS,Boston,Housing Values in Suburbs of Boston,54944
gamlss.data,vas5,Visual analog scale (VAS) data,54872
wooldridge,affairs,affairs,53712
wooldridge,meap93,meap93,53520
ade4,mollusc,Faunistic Communities and Sampling Experiment,53096
maps,unemp,Sample datasets,52472
tseries,unemp,Nelson-Plosser Macroeconomic Time Series,52472
randomForest,imports85,The Automobile Data,51984
gtools,ELISA,Data from an ELISA assay,51464
timetk,taylor_30_min,Half-hourly electricity demand,49880
graphlayouts,metro_berlin,Subway network of Berlin,49864
mosaicData,Countries,Countries,49656
gamlss.data,CD4,The CD4 Count Data files for GAMLSS,49560
DescTools,d.periodic,Periodic Table of Elements,49448
rpart,car90,Automobile Data from 'Consumer Reports' 1990,49304
mice,boys,Growth of Dutch boys,48992
wooldridge,hprice2,hprice2,48920
cluster,xclara,Bivariate Data Set with 3 Clusters,48848
survival,pbc,Mayo Clinic Primary Biliary Cholangitis Data,48680
flexclust,btw2009,German Parliament Election Data,48312
boot,channing,Channing House Data,47928
wooldridge,wageprc,wageprc,47904
mice,fdd,SE Fireworks disaster data,47816
kernlab,reuters,Reuters Text Data,47784
wooldridge,jtrain2,jtrain2,47696
cluster,plantTraits,Plant Species Traits Data,47496
wooldridge,smoke,smoke,47384
radiant.basics,demand_uk,Demand in the UK,47376
mosaicData,Galton,Galton's dataset of parent and child heights,47160
ade4,macroloire,Assemblages of Macroinvertebrates in the Loire River (France),46744
mitml,justice,Example data set on employees' justice perceptions and satisfaction,46536
survival,rats,Rat treatment data from Mantel et al,46536
ade4,aviurba,Ecological Tables Triplet,46392
ggraph,whigs,Membership network of American Whigs,46256
lava,bmidata,Data,46072
jomo,cldata,A simulated clustered dataset,45968
wooldridge,attend,attend,45776
dbscan,Dataset_2,DBCV Paper Datasets,45696
nlme,Wafer,Modeling of Analog MOS Circuits,44464
deSolve,ccl4data,Closed Chamber Study of CCl4 Metabolism by Rats.,44000
tseries,camp,"Mount Campito Yearly Treering Data, -3435-1969.",43704
AER,Journals,Economics Journal Subscription Data,43664
coin,alzheimer,Smoking and Alzheimer's Disease,43624
robustbase,ambientNOxCH,Daily Means of NOx (mono-nitrogen oxides) in air,43536
dslabs,mnist_127,Useful example for illustrating generative models based on MNIST data,43496
archdata,Michelsberg,Younger Neolithic Pottery from Central Europe,43344
wooldridge,nyse,nyse,43296
carData,Blackmore,Exercise Histories of Eating-Disordered and Control Subjects,43240
carData,Greene,Refugee Appeals,43112
lava,serotonin,Serotonin data,43008
wooldridge,hprice3,hprice3,42968
survival,mgus,Monoclonal gammopathy data,42760
datasets,volcano,Topographic Information on Auckland's Maunga Whau Volcano,42672
survival,udca1,Data from a trial of usrodeoxycholic acid,42352
labelled,spss_file,Datasets for testing,42104
survival,rhDNase,rhDNASE data set,41920
parameters,qol_cancer,Sample data set,41552
GGally,psychademic,UCLA canonical correlation analysis data,41232
lava,serotonin2,Data,40888
AER,BankWages,Bank Wages,40696
TH.data,mammoexp,Mammography Experience Study,40680
tidyxl,excel_functions,Names of all Excel functions,40520
mlr3data,ilpd,Indian Liver Patient Dataset,40512
sp,GridsDatums,Grids and Datums PE&RS listing,39968
RecordLinkage,RLdata500,Test data for Record Linkage,39920
VIM,tao,Tropical Atmosphere Ocean (TAO) project data,39896
DiagrammeR,currencies,ISO-4217 currency data.,39840
nlme,Glucose,Glucose levels over time,39496
vip,titanic,Survival of Titanic passengers,39032
infer,gss,Subset of data from the General Social Survey (GSS).,38872
timetk,m4_weekly,Sample of 4 Weekly Time Series Datasets from the M4 Competition,38712
nlme,Spruce,Growth of Spruce Trees,38552
coda,line,Simple linear regression example,38488
plm,Gasoline,Gasoline Consumption,38464
AER,OECDGas,Gasoline Consumption Data,38440
ade4,buech,Buech basin,38424
survival,myeloid,Acute myeloid leukemia,38368
ggplot2,seals,Vector field of seal movements,38200
multcomp,adevent,Adverse Events Data,37720
lexicon,sw_loughran_mcdonald_long,Loughran-McDonald Long Stopword List,37304
kSamples,ShorelineFireEMS,Shoreline Fire and EMS Turnout Times,37184
archdata,Bornholm,"Female Iron Age Graves, Bornholm, Denmark",37064
tidyr,cms_patient_experience,Data from the Centers for Medicare & Medicaid Services,37056
wooldridge,lowbrth,lowbrth,37056
ade4,microsatt,Genetic Relationships between cattle breeds with microsatellites,36992
dbscan,Dataset_3,DBCV Paper Datasets,36984
wooldridge,ezunem,ezunem,36976
ConsRank,German,German political goals,36888
imputeTS,tsNH4,Time series of NH4 concentration in a wastewater system (with NAs),36880
imputeTS,tsNH4Complete,Time series of NH4 concentration in a wastewater system (complete),36880
VIM,SBS5242,Synthetic subset of the Austrian structural business statistics data,36752
MASS,Cars93,Data from 93 Cars on Sale in the USA in 1993,36656
DTSg,flow,Daily river flows,36552
strucchange,Grossarl,"Marriages, Births and Deaths in Grossarl",36400
ade4,presid2002,Results of the French presidential elections of 2002,36344
tseries,ice.river,Icelandic River Data,36264
VIM,bcancer,Breast cancer Wisconsin data set,36232
VIM,diabetes,Indian Prime Diabetes Data,36152
gclus,ozone,"Ozone data from Breiman and Friedman, 1985",36112
ade4,tintoodiel,Tinto and Odiel estuary geochemistry,35968
wooldridge,vote2,vote2,35816
ade4,baran95,African Estuary Fishes,35744
ade4,oribatid,Oribatid mite,35648
survival,mgus1,Monoclonal gammopathy data,35552
carData,UN98,United Nations Social Indicators Data 1998],35536
dslabs,mice_weights,Mice weights,34936
survival,cancer,NCCTG Lung Cancer Data,34752
survival,lung,NCCTG Lung Cancer Data,34752
wooldridge,traffic2,traffic2,34312
lexicon,sw_mallet,MALLET Stopword List,34272
gamlss.data,InfMort,Infant Mortality Data,33944
vcd,Suicide,Suicide Rates in Germany,33848
fueleconomy,common,Common models,33792
wooldridge,nbasal,nbasal,33712
gclus,wine,Wine recognition data,33688
radiant.model,ideal,Ideal data for linear regression,33656
wooldridge,engin,engin,33624
clue,GVME_Consensus,Gordon-Vichi Macroeconomic Consensus Partition Data,33592
mgcv,columb.polys,Reduced version of Columbus OH crime data,33552
gdata,MedUnits,Table of conversions between Intertional Standard (SI) and US 'Conventional' Units for common medical measurements.,33488
timetk,m4_monthly,Sample of 4 Monthly Time Series Datasets from the M4 Competition,33464
flexmix,NPreg,"Artificial Example for Normal, Poisson and Binomial Regression",33424
wooldridge,ncaa_rpi,ncaa_rpi,33400
MASS,OME,Tests of Auditory Perception in Children with OME,33320
PerformanceAnalytics,prices,Selected Price Series Example Data,33296
datasets,quakes,Locations of Earthquakes off Fiji,33232
flexmix,trypanosome,Trypanosome,33216
PerformanceAnalytics,edhec,EDHEC-Risk Hedge Fund Style Indices,33208
strucchange,GermanM1,German M1 Money Demand,33208
ade4,worksurv,French Worker Survey (1970),32944
mlbench,Glass,Glass Identification Database,32624
survival,transplant,Liver transplant waiting list,32488
AER,CartelStability,CartelStability,32456
survival,gbsg,Breast cancer data sets used in Royston and Altman (2013),32192
lmerTest,TVbo,Sensory Assesment of B&O TVs,31800
ade4,doubs,Pair of Ecological Tables,31792
quantreg,barro,Barro Data,31776
afex,sk2011.1,"Data from Singmann & Klauer (2011, Experiment 1)",31720
mosaicData,CPS85,Data from the 1985 Current Population Survey (CPS85),31624
lexicon,profanity_racist,Titus Wormer's List of Racist Words,31408
wooldridge,pntsprd,pntsprd,31160
ade4,friday87,Faunistic K-tables,30960
TSP,USCA312_GPS,USCA312/USCA50 - 312/50 cities in the US and Canada,30616
huxtable,jams,Prices of 3 jams,30544
nlme,MathAchSchool,School demographic data for MathAchieve,30392
beeswarm,breast,Lymph-node-negative primary breast tumors,30344
paletteer,palettes_c_names,Names of all continuous palettes,30232
sp,meuse,Meuse river data set,30160
klaR,B3,West German Business Cycles 1955-1994,29968
modeldata,ischemic_stroke,Clinical data used to predict ischemic stroke,29848
quantreg,MelTemp,"Daily maximum temperatures in Melbourne, Australia",29664
lava,nsem,Example SEM data (nonlinear),29464
ggplot2,economics,US economic time series,29312
gamlss.data,plasma,The plasma data set,29280
archdata,DartPoints,"Five dart point types from Fort Hood, Texas, U.S.A.",29016
Lahman,AwardsShareManagers,AwardsShareManagers table,28888
lexicon,profanity_alvarez,Alejandro U. Alvarez's List of Profane Words,28808
ks,worldbank,Development indicators from the World Bank Group,28568
nlme,Oxboys,Heights of Boys in Oxford,28568
ade4,apis108,Allelic frequencies in ten honeybees populations at eight microsatellites loci,28520
bit64,optimizer64.data,Results of performance measurement on a Core i7 Lenovo T410 8 GB RAM under Windows 7 64bit,28512
carData,OBrienKaiserLong,"O'Brien and Kaiser's Repeated-Measures Data in ""Long"" Format",28496
wooldridge,meapsingle,meapsingle,28456
ade4,aminoacyl,Codon usage,28264
gains,ciaScores,Cell Phones per Country with Predictions,28072
GGally,tips,Tipping data,28040
reshape,tips,Tipping data,28040
reshape2,tips,Tipping data,28040
carData,UN,"National Statistics from the United Nations, Mostly From 2009-2011",28016
lmtest,fyff,U.S. Macroeconomic Time Series,27864
lmtest,gmdc,U.S. Macroeconomic Time Series,27864
lmtest,ip,U.S. Macroeconomic Time Series,27864
lmtest,lhur,U.S. Macroeconomic Time Series,27864
lmtest,pw561,U.S. Macroeconomic Time Series,27864
tseries,ip,Nelson-Plosser Macroeconomic Time Series,27864
lmtest,jocci,U.S. Macroeconomic Time Series,27736
ade4,humDNAm,human mitochondrial DNA restriction data,27616
wooldridge,crime2,crime2,27448
factoextra,multishapes,A dataset containing clusters of multiple shapes,27384
DescTools,d.diamonds,Data diamonds,27008
dlookr,heartfailure,Heart Failure Data,26920
gapminder,country_codes,Country codes,26744
ipred,dystrophy,Detection of muscular dystrophy carriers.,26680
mlr3data,penguins_simple,Simplified Palmer Penguins Data Set,26680
modeldata,grants_2008,Grant acceptance data,26584
DescTools,d.whisky,Classification of Scotch Single Malts,26504
wooldridge,intqrt,intqrt,26440
ade4,atya,Genetic variability of Cacadors,26360
archdata,TRBPottery,Neolithic TRB Pottery from Demark,26360
Lahman,SeriesPost,SeriesPost table,26288
wooldridge,barium,barium,26160
boot,melanoma,Survival from Malignant Melanoma,26064
nlme,Glucose2,Glucose Levels Following Alcohol Ingestion,25928
lexicon,hash_internet_slang,List of Internet Slang and Corresponding Meanings,25896
ade4,chevaine,Enzymatic polymorphism in Leuciscus cephalus,25880
datasets,sunspot.month,"Monthly Sunspot Data, from 1749 to ""Present""",25880
gamlss.data,LGAclaims,The LGA Claims Data files for GAMLSS,25792
mice,fdd.pred,SE Fireworks disaster data,25712
urca,npext,Nelson and Plosser extended data set,25680
gamlss.data,glasses,Reading Glasses Data,25632
boot,paulsen,Neurotransmission in Guinea Pig Brains,25632
MASS,cpus,Performance of Computer CPUs,25592
multcomp,cml,Chronic Myelogenous Leukemia survival data.,25464
survival,uspop2,Projected US Population,25464
vcd,VonBort,Von Bortkiewicz Horse Kicks Data,25288
seriation,Munsingen,Hodson's Munsingen Data Set,25264
wooldridge,rental,rental,25152
ISLR,Credit,Credit Card Balance Data,25080
glmnet,BinomialExample,Synthetic dataset with binary response,25016
yarrr,poopdeck,poopdeck,24952
strucchange,historyM1,German M1 Money Demand,24848
ConsRank,USAranks,USA rank data,24688
gclus,bank,Swiss bank notes data,24664
lme4,Arabidopsis,Arabidopsis clipping/fertilization data,24336
lmerTest,ham,Conjoint Study of Dry Cured Ham,24136
carData,Womenlf,Canadian Women's Labour-Force Participation,23984
nlme,Earthquake,Earthquake Intensity,23872
ade4,trichometeo,Pair of Ecological Data,23816
ggplot2,mpg,Fuel economy data from 1999 to 2008 for 38 popular models of cars,23776
lexicon,profanity_arr_bad,Stackoverflow user2592414's List of Profane Words,23776
survival,cgd,Chronic Granulotamous Disease data,23560
AER,USMacroSWM,"Monthly US Macroeconomic Data (1947-2004, Stock & Watson)",23464
survival,heart,Stanford Heart Transplant data,23408
effectsize,hardlyworking,Workers' Salary and Other Information,23352
ade4,carniherbi49,"Taxonomy, phylogenies and quantitative traits of carnivora and herbivora",23256
dbscan,Dataset_1,DBCV Paper Datasets,23184
mosaicData,Births2015,US Births,23168
wooldridge,gpa1,gpa1,23096
survival,udca,Data from a trial of usrodeoxycholic acid,23096
datasets,sunspots,"Monthly Sunspot Numbers, 1749-1983",23024
lexicon,function_words,Function Words,22880
nlme,Soybean,Growth of soybean plants,22784
lava,indoorenv,Data,22728
boot,neuro,Neurophysiological Point Process Data,22728
datasets,ChickWeight,Weight versus age of chicks on different diets,22696
carData,Ornstein,Interlocking Directorates Among Major Canadian Firms,22640
wooldridge,slp75_81,slp75_81,22520
AER,NaturalGas,Natural Gas Data,22416
urca,nporg,Nelson and Plosser original data set,22400
boot,cane,Sugar-cane Disease Data,22400
ade4,newick.eg,Phylogenetic trees in Newick format,22344
MASS,SP500,Returns of the Standard and Poors 500,22288
dbscan,Dataset_4,DBCV Paper Datasets,22224
ade4,butterfly,Genetics-Ecology-Environment Triple,22192
mice,windspeed,Subset of Irish wind speed data,22128
AER,Electricity1955,"Cost Function of Electricity Producers (1955, Nerlove Data)",21936
ade4,cnc2003,Frequenting movie theaters in France in 2003,21872
modeldata,bivariate_train,Example bivariate classification data,21816
nlme,RatPupWeight,The weight of rat pups,21816
effectsize,screening_test,Results from 2 Screening Tests,21728
MASS,birthwt,Risk Factors Associated with Low Infant Birth Weight,21592
leaflet,breweries91,Selected breweries in Franconia,21584
nlme,Dialyzer,High-Flux Hemodialyzer,21552
clue,Cassini,Cassini Data,21496
rpart,solder.balance,Soldering of Components on Printed-Circuit Boards,21416
ggplot2,msleep,An updated and expanded version of the mammals sleep dataset,21384
survival,jasa,Stanford Heart Transplant data,21376
AER,USMacroG,"US Macroeconomic Data (1950-2000, Greene)",21344
MASS,survey,Student Survey Data,21248
clue,GVME,Gordon-Vichi Macroeconomic Partition Ensemble Data,21152
survival,bladder1,Bladder Cancer Recurrences,21152
flexmix,NregFix,Artificial Example for Normal Regression,21096
AER,SportsCards,Endowment Effect for Sports Cards,21032
wooldridge,athlet1,athlet1,21016
MASS,synth.te,Synthetic Classification Problem,20984
flexmix,BregFix,Artificial Example for Binomial Regression,20928
psych,sat.act,"3 Measures of ability: SATV, SATQ, ACT",20928
Lahman,TeamsFranchises,TeamFranchises table,20904
psych,lsat6,Bock and Liberman (1970) data set of 1000 observations of the LSAT,20768
psych,lsat7,Bock and Liberman (1970) data set of 1000 observations of the LSAT,20768
rattle,wine,The wine dataset from the UCI Machine Learning Repository.,20752
mosaicData,Alcohol,Alcohol Consumption per Capita,20696
ggstatsplot,iris_long,Edgar Anderson's Iris Data in long format.,20576
statsExpressions,iris_long,Edgar Anderson's Iris Data in long format.,20576
plm,Grunfeld,Grunfeld's Investment Data,20416
survival,stanford2,More Stanford Heart Transplant data,20352
dslabs,pr_death_counts,Puerto Rico daily mortality,20288
networkD3,MisLinks,Les Miserables character links,20280
mosaicData,Births78,US Births,20256
rebmix,wine,Wine Recognition Data,20248
wooldridge,lawsch85,lawsch85,20224
cluster,votes.repub,Votes for Republican Candidate in Presidential Elections,20168
HDclassif,wine,Wine dataset,20120
vegan,mite.pcnm,Oribatid Mite Data with Explanatory Variables,20040
glmnet,MultiGaussianExample,Synthetic dataset with multiple Gaussian responses,19984
evd,venice2,Largest Sea Levels in Venice,19896
lava,calcium,Longitudinal Bone Mineral Density Data,19888
AppliedPredictiveModeling,logisticCreditPredictions,Logistic Regression Predictions for the Credit Data,19704
ade4,casitas,Enzymatic polymorphism in Mus musculus,19672
quantreg,engel,Engel Data,19640
lattice,singer,Heights of New York Choral Society singers,19624
lme4,grouseticks_agg,Data on red grouse ticks from Elston et al. 2001,19616
vcd,DanishWelfare,Danish Welfare Study Data,19608
HardyWeinberg,HapMapCHBChr1,Genotype frequencies for 225 SNPs on chromosome 1 of the CHB population.,19568
xts,sample_matrix,Sample Data Matrix For xts Example and Unit Testing,19464
AER,GrowthDJ,Determinants of Economic Growth,19440
DiagrammeR,usd_exchange_rates,US Dollar exchange rates.,19360
MASS,gilgais,Line Transect of Soil in Gilgai Territory,19344
survival,veteran,Veterans' Administration Lung Cancer study,19224
vegan,mite,Oribatid Mite Data with Explanatory Variables,19168
modeldata,steroidogenic_toxicity,Predicting steroidogenic toxicity with assay data,19144
survival,retinopathy,Diabetic Retinopathy,19104
lattice,USRegionalMortality,Mortality Rates in US by Cause and Gender,19096
carData,DavisThin,Davis's Data on Drive for Thinness,19056
gapminder,country_colors,Gapminder color schemes.,19048
tseries,tcm,Monthly Yields on Treasury Securities,19032
MASS,fgl,Measurements of Forensic Glass Fragments,18936
ade4,morphosport,Athletes' Morphology,18912
mosaicData,Marriage,Marriage records,18840
mlbench,Servo,Servo Data,18704
wooldridge,pension,pension,18672
ade4,deug,Exam marks for some students,18608
AER,WeakInstrument,Artificial Weak Instrument Data,18576
carData,Davis,Self-Reports of Height and Weight,18528
threejs,LeMis,Les Miserables Character Coappearance Data,18384
maps,votes.repub,Sample datasets,18320
ade4,ardeche,Fauna Table with double (row and column) partitioning,18288
paletteer,paletteer_packages,Names and version information for all packages included,18080
AER,CigarettesSW,Cigarette Consumption Panel Data,18056
mosaicData,Utilities2,Utility bills,18008
dslabs,historic_co2,"Atmospheric carbon dioxide concentration over 800,000 years",17968
caret,scat,Morphometric Data on Scat,17960
nlme,Orthodont,Growth curve data on an orthdontic measurement,17936
AER,Parade2005,Parade Magazine 2005 Earnings Data,17800
AER,USAirlines,Cost Data for US Airlines,17792
mosaicData,Whickham,Data from the Whickham survey,17776
jomo,surdata,A simulated dataset with survival data,17736
modeldata,scat,Morphometric data on scat,17664
AER,Mortgage,Fixed versus Adjustable Mortgages,17608
wooldridge,ceosal2,ceosal2,17600
glmnet,QuickStartExample,Synthetic dataset with Gaussian response,17584
modeldata,two_class_dat,Two class data,17456
urca,Raotbl6,Data set used by Yash P. Mehra (1994),17304
wavelets,ecg,Electrocardiogram Data,17304
nlme,Wheat2,Wheat Yield Trials,17224
